Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
1,Male,Urban,"5,50,001 - 6,00,000",Buldhana,Buldana,Open,85,77.6,28,31,33,26,93,26,0.72387602,60.9135106,427992,0.90738682,0
2,Male,Urban,"15,001 - 50,000",Yavatmal,Yavatmal,DT/VJ,74,73.2,31,25,28,32,63,25,0.154265448,,335831,0.43087206,0
3,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,SC,82,78.2,65,64,59,59,78,66.5,53.2569868,,62041,53.2569868,1
4,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,OBC,85,80.6,25,25,30,30,82,20,0.051936469,62.741662,545444,0.886137808,0
5,Female,Urban,"4,50,001 - 5,00,000",Chandrapur,Ballarpur,Open,33,61.83,89.33,80,81.33,0,89,87.2,68.5685433,51.1532468,44847,68.5685433,1
6,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,SC,71,69.4,26,29,27,32,73,29,0.349949836,,586881,0.939298979,0
7,Female,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,88,82,22,24,27,30,83,32,0.557288256,,252082,0.740624805,0
8,Female,Rural,"15,001 - 50,000",Washim,Mangrulpir,OBC,61,64.2,30,27,30,30,80,23,0.025825256,60.9135106,318433,0.929307215,0
9,Female,Urban,"4,50,001 - 5,00,000",Yavatmal,Yavatmal,Open,54,76,32,20,33,20,90,22,0.799721082,38.2831895,343843,0.841205194,0
10,Male,Urban,"1,50,001 - 2,00,000",Akola,Akola,Open,44,60.4,31,20,26,21,85,28,0.203420031,1.8284107,504458,0.314170901,0
11,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,85,87.6,27,28,26,33,92,31,0.398333656,,527458,0.509061525,0
12,Female,Urban,"15,001 - 50,000",Amravati,Warud,DT/VJ,81,82.4,28,25,26,22,88,33,0.450042855,,312831,0.987957091,0
13,Female,Rural,"8,00,001 - 9,00,000",Yavatmal,Wani,Open,47,53.6,73,73,64,80.5,78,74.83,43.0893887,37.1757063,71320,43.0893887,1
14,Male,Urban,"15,001 - 50,000",Akola,Akola,OBC,89,79.8,22,28,24,25,82,32,0.790566507,6.8407756,395039,0.690607766,0
15,Female,Rural,"15,001 - 50,000",Amravati,Warud,SC,66,73.8,75,82,80,89,67,78.67,,78.883698,12187,78.883698,1
16,Female,Rural,"50,001 - 1,00,000",Amravati,Amravati,OBC,83,72.4,33,22,22,20,86,31,0.108353171,,492515,0.504836173,0
